#Michael Murillo MLM data, Jan 30, 2024
T[eV] 			         κe[W/cm-KeV]
5.415871379999999569e+00 1.190868380000000000e+08
5.738441650000000394e+00 1.301412040000000000e+08
6.080224259999999603e+00 1.424935180000000000e+08
6.442363509999999849e+00 1.563382020000000000e+08
6.826071830000000062e+00 1.718866610000000000e+08
7.232633899999999727e+00 1.893551410000000000e+08
7.663410869999999875e+00 2.090558970000000000e+08
8.119844990000000706e+00 2.312707190000000000e+08
8.603464419999999890e+00 2.563984960000000000e+08
9.115888299999999944e+00 2.848676040000000000e+08
9.658832240000000624e+00 3.171415250000000000e+08
1.023411399999999993e+01 3.537791590000000000e+08
1.084365969999999990e+01 3.954601130000000000e+08
1.148950999999999922e+01 4.429375300000000000e+08
1.217382729999999924e+01 4.970444010000000000e+08
1.289890259999999955e+01 5.587700540000000000e+08
1.366716360000000030e+01 6.292769870000000000e+08
1.448118230000000040e+01 7.098922940000000000e+08
1.534368410000000083e+01 8.021154640000000000e+08
1.625755669999999853e+01 9.076840710000000000e+08
1.722585970000000088e+01 1.028625470000000000e+09
1.825183489999999864e+01 1.167283110000000000e+09
1.933891750000000087e+01 1.326314710000000000e+09
2.049074690000000132e+01 1.508830870000000000e+09
2.171117950000000008e+01 1.718389640000000000e+09
2.300430120000000045e+01 1.959095230000000000e+09
2.437444149999999965e+01 2.235710970000000000e+09
2.582618760000000080e+01 2.553713610000000000e+09
2.736439999999999984e+01 2.919432140000000000e+09
2.899422849999999841e+01 3.340167960000000000e+09
3.072112999999999872e+01 3.824362240000000000e+09
3.255088599999999843e+01 4.381739790000000000e+09
3.448962259999999702e+01 5.023582910000000000e+09
3.654383070000000089e+01 5.762860110000000000e+09
3.872038779999999747e+01 6.614524070000000000e+09
4.102658110000000136e+01 7.595992010000000000e+09
4.347013160000000198e+01 8.727094170000000000e+09
4.605922040000000095e+01 1.003121140000000000e+10
4.880251580000000189e+01 1.153483960000000000e+10
5.170920240000000234e+01 1.326916890000000000e+10
5.478901179999999727e+01 1.526929070000000000e+10
5.805225519999999761e+01 1.757684400000000000e+10
6.150985790000000009e+01 2.023845290000000000e+10
6.517339599999999677e+01 2.331073310000000000e+10
6.905513519999999517e+01 2.685701340000000000e+10
7.316807140000000231e+01 3.094757200000000000e+10
7.752597489999999425e+01 3.567115670000000000e+10
8.214343580000000600e+01 4.112424080000000000e+10
8.703591360000000066e+01 4.741914010000000000e+10
9.221978819999999644e+01 5.468733290000000000e+10
9.771241539999999759e+01 6.307978240000000000e+10
1.035321840000000009e+02 7.277103350000000000e+10
1.096985800000000069e+02 8.396277100000000000e+10
1.162322470000000010e+02 9.688804080000000000e+10
1.231550600000000060e+02 1.118161290000000000e+11
1.304901979999999924e+02 1.290579420000000000e+11
1.382622169999999926e+02 1.489736010000000000e+11
1.464971400000000017e+02 1.719782670000000000e+11
1.552225359999999910e+02 1.985520440000000000e+11
1.644676179999999874e+02 2.292497100000000000e+11
1.742633390000000020e+02 2.647123410000000000e+11
1.846424939999999992e+02 3.056807310000000000e+11
1.956398340000000076e+02 3.530109160000000000e+11
2.072921780000000069e+02 4.076920980000000000e+11
2.196385370000000137e+02 4.708673680000000000e+11
2.327202479999999980e+02 5.438576540000000000e+11
2.465811080000000004e+02 6.281893860000000000e+11
2.612675229999999829e+02 7.256264800000000000e+11
2.768286630000000059e+02 8.382072850000000000e+11
2.933166279999999801e+02 9.682872890000000000e+11
3.107866189999999733e+02 1.118588470000000000e+12
3.292971259999999916e+02 1.292256310000000000e+12
3.489101210000000037e+02 1.492926410000000000e+12
3.696912709999999720e+02 1.687161300000000000e+12
3.917101490000000013e+02 1.899992760000000000e+12
4.150404760000000124e+02 2.140797160000000000e+12
4.397603609999999890e+02 2.413351640000000000e+12
4.659525669999999877e+02 2.721953120000000000e+12
4.937047850000000153e+02 3.071491040000000000e+12
5.231099309999999605e+02 3.467529180000000000e+12
5.542664519999999584e+02 3.916401710000000000e+12
5.872786610000000564e+02 4.425319970000000000e+12
6.222570839999999635e+02 5.002495890000000000e+12
6.593188270000000557e+02 5.657282580000000000e+12
6.985879750000000286e+02 6.400334920000000000e+12
7.401960000000000264e+02 7.243792880000000000e+12
7.842822059999999738e+02 8.201490970000000000e+12
8.309941949999999906e+02 9.289197530000000000e+12
8.804883579999999483e+02 1.052488810000000000e+13
9.329304029999999557e+02 1.192905750000000000e+13
9.884959049999999934e+02 1.352507740000000000e+13
1.047370899999999892e+03 1.533960330000000000e+13
1.109752500000000055e+03 1.740304180000000000e+13
1.175849549999999908e+03 1.975008270000000000e+13
1.245883360000000039e+03 2.242030900000000000e+13
1.320088400000000092e+03 2.545889350000000000e+13
1.398713099999999940e+03 2.891739510000000000e+13
1.482020710000000008e+03 3.285467080000000000e+13
1.570290119999999888e+03 3.733791670000000000e+13
1.663816890000000058e+03 4.244386110000000000e+13
1.762914119999999912e+03 4.826012720000000000e+13
1.867913600000000088e+03 5.488679380000000000e+13
1.979166870000000017e+03 6.243817970000000000e+13
2.097046400000000176e+03 7.104488660000000000e+13
2.221946860000000015e+03 8.085613620000000000e+13
2.354286410000000160e+03 9.204244540000000000e+13
2.494508139999999912e+03 1.047986880000000000e+14
2.643081490000000031e+03 1.193476000000000000e+14
2.800503889999999956e+03 1.359437890000000000e+14
2.967302409999999782e+03 1.548783340000000000e+14
3.144035469999999805e+03 1.764840360000000000e+14
3.331294789999999921e+03 2.011414490000000000e+14
3.529707300000000032e+03 2.292857680000000000e+14
3.739937300000000050e+03 2.614147320000000000e+14
3.962688639999999850e+03 2.980976700000000000e+14
4.198707080000000133e+03 3.399858560000000000e+14
4.448782830000000104e+03 3.878243850000000000e+14
4.713753130000000056e+03 4.424657610000000000e+14
4.994505119999999806e+03 5.048854800000000000e+14
5.291978739999999561e+03 5.761998690000000000e+14
5.607169939999999769e+03 6.576865410000000000e+14
5.941133979999999610e+03 7.508078250000000000e+14
6.294988989999999831e+03 8.572376140000000000e+14
6.669919659999999567e+03 9.788921430000000000e+14
7.067181270000000040e+03 1.117965260000000000e+15
7.488103860000000168e+03 1.276968850000000000e+15
7.934096669999999904e+03 1.458779180000000000e+15
8.406652889999999388e+03 1.666690010000000000e+15
8.907354639999999563e+03 1.904473520000000000e+15
9.437878280000000814e+03 2.176450090000000000e+15
1.000000000000000000e+04 2.487568400000000000e+15
